docket,short_hand
23-191,Williams v. Washington
23-621,Lackey v. Stinnie
23-852,"Garland, Att'y Gen. v. VanDerStok"
22-7466,Glossip v. Oklahoma
23-365,"Medical Marijuana, Inc. v. Horn"
23-583,"Bouarfa v. Mayorkas, Sec DHS"
23-713,"Bufkin v. McDonough, Sec VA"
23-753,San Francisco v. EPA
23-677,Royal Canin v. Wullschleger
23-1127,"Wisconsin Bell, Inc. v. U.S., ex rel. Health"
23-715,Advocate Christ Medica v. Becerra
23-217,"E.M.D. Sales, Inc. v. Carrera"
23-980,"Facebook, Inc v. Amalgamated Bank"
23-929,Valazquez v. Garland
23-825,Delligatti v. United States
23-970,NVIDIA Corp. v. E. Ohman
23-1038,FDA v. Wages and White Lion
23-824,US v. Miller
23-867,Hungary v. Simon
23-477,US v. Skrmetti
23-909,Kousisis v. US
23-861,Feliciano v. DOT
23-975,Seven County Coalition v. Eagle County
23-900,Dewberry Group v. Dewberry Engineers
