docket,short_hand,sitting,order
23-108,Snyder v. U.S.,April,1
23-50,Chiaverini v. City of Napoleon,April,2
23-5572,Fischer v. U.S.,April,3
22-982,Thornell v. Jones,April,4
23-175,City of Grants Pass v. Johnson,April,5
22-1218,Smith v. Spizzirri,April,6
23-334,Dept. of State v. Munoz,April,7
23-367,Starbucks Corp. v. McKinney,April,8
23-726,Moyle v. U.S. (Cons. w. 23-727),April,9
23-939,Trump v. U.S.,April,10
22-340,Pulsifer v. U.S.,October,1
22-448,CFPB v. Community Financial Services Assn.,October,2
22-429,Acheson Hotels v. Laufer,October,3
22-660,Murray v. UBS Securities,October,4
22-500,Greater Lakes Ins. v. Raiders Retreat Realty Co.,October,5
22-807,Alexander v. SC Conf. of NAACP,October,6
22-585,Culley v. Marshall,November,1
22-324,O'Connor-Ratcliff v. Garner,November,2
22-611,Lindke v. Freed,November,3
22-704,"Vidal, Under Sec. of Comm. v. Elster",November,4
22-846,Dept. of Agric. Rural Dev. v. Kirtz,November,5
22-915,U.S. v. Rahimi,November,6
22-888,Rudisill v. McDonough,November,7
22-6389,Brown v. U.S. (Cons. w. 22-6640),December,1
22-721,McElrath v. Georgia,December,2
22-666,Wilkinson v. Garland,December,3
22-859,SEC v. Jarkesy,December,4
23-124,Harrington v. Purdue Pharma,December,5
22-800,Moore v. U.S.,December,6
22-193,Muldrow v. St. Louis,December,7
22-674,Campos-Chavez v. Garland (Cons. w. 22-884),January,1
22-1178,FBI v. Fikre,January,2
22-1074,Sheetz v. County of El Dorado,January,3
22-1238,U.S. Trustee v. John Q. Hammons,January,4
22-899,Smith v. Arizona,January,5
22-1165,Macquarie Infrastructure Corp. v. Moab Partners,January,6
22-913,Devillier v. Texas,January,7
22-1219,"Relentless, Inc. v. Dept. of Commerce",January,8
22-451,"Loper Bright v. Raimondo, Sec. of Commerce",January,9
22-1008,Corner Post Inc. v. BD. Of Governors FRS,February,1
23-51,Bissonnette v. LePage Bakeries,February,2
23A349,Ohio v. EPA (Cons. w. 23A350; 23A351; 23A384),February,3
22-1078,Warner Chappell Music Inc. v. Nealy,February,4
22-277,Moody v. Netchoice LLC,February,5
22-555,Netchoice LLC v. Paxton,February,6
22-7386,McIntosh v. U.S.,February,7
22-529,Cantero v. Bank of America,February,8
22-976,Garland v. Cargill,February,9
23-3,Coinbase Inc. v. Suski,February,10
23-719,Trump v. Anderson,February,11
23-411,Murthy v. Missouri,March,1
22-842,NRA v. Vullo,March,2
23-14,Diaz v. U.S.,March,3
22-1079,Truck Insurance Exchange v. Kaiser Gypsum,March,4
22-1025,Gonzalez v. Trevino,March,5
23-250,Becerra v. San Carlos Apache Tribe (Cons. w. 23-253),March,6
22O141,Texas v. New Mexico and Colorado,March,7
23-21,Harrow v. Dept. of Defense,March,8
23-235,FDA v. Alliance for Hippocratic Medicine (Cons. w. 23-236),March,9
23-370,Erlinger v. United States,March,10
23-146,Connelly v. United States,March,11
