"Lower Court (Circuit)","Total Cases","Decision (Type)","Percent Outcome"
"1st Circuit",1,"Reverse, Vacate, (and/or) Remand",100
"2nd Circuit",6,"Affirmed",16.67
"2nd Circuit",6,"Reverse, Vacate, (and/or) Remand",83.33
"3rd Circuit",4,"Affirmed",50
"3rd Circuit",4,"Reverse, Vacate, (and/or) Remand",50
"4th Circuit",1,"Reverse, Vacate, (and/or) Remand",100
"5th Circuit",7,"Affirmed",14.29
"5th Circuit",7,"Reverse, Vacate, (and/or) Remand",85.71
"6th Circuit",3,"Reverse, Vacate, (and/or) Remand",100
"7th Circuit",1,"Reverse, Vacate, (and/or) Remand",100
"8th Circuit",3,"Affirmed",66.67
"8th Circuit",3,"Reverse, Vacate, (and/or) Remand",33.33
"9th Circuit",9,"Affirmed",55.56
"9th Circuit",9,"Reverse, Vacate, (and/or) Remand",44.44
"10th Circuit",1,"Reverse, Vacate, (and/or) Remand",100
"11th Circuit",2,"Affirmed",100
