term,coalition,count
2018,(5-4) or (5-3),21
2018,(6-3) or (6-2),11
2018,(7-2) or (7-1),10
2018,(8-1) or (8-0),7
2018,(9-0),27
2019,(5-4) or (5-3),15
2019,(6-3) or (6-2),9
2019,(7-2) or (7-1),17
2019,(8-1) or (8-0),10
2019,(9-0),25
2020,(5-4) or (5-3),11
2020,(6-3) or (6-2),18
2020,(7-2) or (7-1),9
2020,(8-1) or (8-0),14
2020,(9-0),28
2021,(5-4) or (5-3),12
2021,(6-3) or (6-2),24
2021,(7-2) or (7-1),3
2021,(8-1) or (8-0),13
2021,(9-0),19
2022,(5-4) or (5-3),9
2022,(6-3) or (6-2),14
2022,(7-2) or (7-1),9
2022,(8-1) or (8-0),5
2022,(9-0),32
2023,(5-4) or (5-3),5
2023,(6-3) or (6-2),17
2023,(7-2) or (7-1),3
2023,(8-1),2
2023,(9-0) or (8-0),26
