Case,justice
Bissonnette v. LePage Bakeries (9-0),ROBERTS
Devillier v. Texas (9-0),THOMAS
CFPB v. Community Financial Services Assn. (7-2),
Alexander v. SC Conf. of NAACP (6-3),ALITO
Brown v. U.S. (Cons. w. 22-6640) (6-3),
Murray v. UBS Securities (9-0),SOTOMAYOR
Wilkinson v. Garland (6-3),
Macquarie Infrastructure Corp. v. Moab Partners (9-0),
McIntosh v. U.S. (9-0),
Smith v. Spizzirri (9-0),
Pulsifer v. U.S. (6-3),KAGAN
Muldrow v. St. Louis (9-0),
Warner Chappell Music Inc. v. Nealy (6-3),
Harrow v. Dept. of Defense (9-0),
